(1.3323, 1.304, -5.7631)
(1.5335, 1.6072, -5.265)
(2.0863, 1.6969, -5.0293)
(2.5277, 2.0184, -4.7282)
(2.6198, 2.6149, -4.4665)
(1.4101, 0.956, -5.512)
(1.4982, 1.2692, -5.0088)
(2.6449, 3.2008, -4.1755)
(1.9548, 1.4692, -4.7059)
(2.6501, 3.5378, -3.9116)
(2.3497, 1.8711, -4.3858)
(2.5579, 2.45, -4.1035)
(2.6018, 3.01, -3.7942)
(2.6443, 3.4638, -3.5763)
(1.5097, 0.523, -5.1649)
(1.4867, 0.8711, -4.6724)
(1.734, 1.273, -4.2952)
(2.0361, 1.7561, -4.0021)
(2.3366, 2.2925, -3.6967)
(2.4954, 2.7628, -3.3201)
(2.7725, 3.0761, -3.1153)
(1.628, 0.1029, -4.7701)
(1.7287, 0.5361, -4.3017)
(1.8808, 1.0147, -3.8576)
(2.1586, 1.5139, -3.5882)
(2.392, 2.0403, -3.3191)
(2.458, 2.4765, -2.9633)
(2.8731, 2.652, -2.687)
(1.7483, -0.3078, -4.3766)
(2.0488, 0.1571, -4.0202)
(2.2297, 0.6615, -3.5917)
(2.387, 1.1617, -3.2455)
(2.2941, 1.7106, -3.1301)
(2.3194, 2.2265, -3.0358)
(2.3392, 2.7023, -2.9965)
(1.7821, -0.6609, -3.9019)
(2.1996, -0.2356, -3.6177)
(2.3761, 0.2728, -3.2092)
(2.4337, 0.7872, -2.8328)
(2.2852, 1.3366, -2.7118)
(2.2626, 1.8957, -2.6364)
(2.2637, 2.2207, -2.5525)
(1.7789, -0.9692, -3.3834)
(2.241, -0.5905, -3.1416)
(2.3607, -0.075, -2.7686)
(2.4171, 0.46, -2.4266)
(2.4727, 1.0041, -2.2815)
(2.3157, 1.5113, -2.0788)
(2.068, 1.8478, -1.8837)
(1.7541, -1.2246, -2.8348)
(2.2895, -0.8882, -2.6363)
(2.5701, -0.3734, -2.3545)
(2.6783, 0.1778, -2.0582)
(2.6446, 0.7174, -1.7944)
(2.5222, 1.2315, -1.5315)
(2.4197, 1.635, -1.3212)
(1.709, -1.4405, -2.2682)
(2.2776, -1.1296, -2.0874)
(2.6367, -0.6337, -1.8347)
(2.7908, -0.0834, -1.5504)
(2.7938, 0.4642, -1.2586)
(2.758, 0.9928, -0.9876)
(2.7151, 1.4035, -0.7777)
(1.662, -1.6504, -1.6998)
(2.2567, -1.37, -1.5335)
(2.6361, -0.8853, -1.2881)
(2.8183, -0.3278, -1.0036)
(2.9219, 0.2297, -0.7155)
(2.9832, 0.7681, -0.4463)
(3.0048, 1.1851, -0.2346)
(1.6363, -1.8975, -1.1487)
(2.2781, -1.6394, -0.9944)
(2.7339, -1.1774, -0.7715)
(2.9538, -0.5923, -0.4878)
(3.0993, -0.0025, -0.1937)
(3.2147, 0.5565, 0.0864)
(3.2865, 0.9805, 0.3083)
(1.6094, -2.1427, -0.6107)
(2.2889, -1.895, -0.4525)
(2.8351, -1.4695, -0.2527)
(3.1325, -0.8642, 0.0091)
(3.3116, -0.2357, 0.3051)
(3.4588, 0.3577, 0.6086)
(3.5583, 0.8129, 0.8725)
(1.4936, -2.2073, -0.0347)
(2.1703, -1.9792, 0.1253)
(2.7792, -1.6365, 0.3099)
(3.1858, -1.0911, 0.5452)
(3.4622, -0.4796, 0.8141)
(3.7053, 0.1336, 1.105)
(3.9419, 0.7968, 1.4985)
(1.3566, -2.2336, 0.5554)
(2.007, -1.9966, 0.707)
(2.5975, -1.6552, 0.881)
(3.0808, -1.1888, 1.0964)
(4.4322, 0.9257, 2.0642)
(3.5034, -0.6669, 1.3194)
(3.8877, -0.1098, 1.5337)
(5.0281, 1.0336, 2.468)
(4.2671, 0.4418, 1.7656)
(5.4455, 1.0597, 3.0337)
(4.6382, 0.8867, 2.0695)
(1.2226, -2.2714, 1.1527)
(1.8504, -2.0183, 1.2883)
(2.4156, -1.6517, 1.4272)
(5.605, 1.3076, 3.1645)
(2.8938, -1.1822, 1.5855)
(4.8905, 1.1537, 2.5106)
(3.3503, -0.6917, 1.7653)
(3.7937, -0.1898, 1.9568)
(5.2337, 1.3436, 2.9644)
(4.2332, 0.3135, 2.1554)
(5.5566, 1.5919, 3.1945)
(4.6732, 0.7734, 2.3279)
(1.1064, -2.3141, 1.7349)
(1.7424, -2.0864, 1.8882)
(2.3992, -1.7897, 1.9744)
(5.0753, 1.1235, 2.4084)
(2.9957, -1.3989, 2.0337)
(3.5383, -0.9623, 2.1132)
(5.374, 1.5141, 2.6759)
(4.0436, -0.4918, 2.2132)
(1.0133, -2.3399, 2.2013)
(5.6118, 1.8701, 2.887)
(4.5226, 0.0039, 2.3252)
(4.9601, 0.5024, 2.4835)
(2.3412, -1.7616, 2.5591)
(1.5465, -2.0973, 2.5649)
(5.3338, 0.9563, 2.6917)
(3.0073, -1.4441, 2.5973)
(3.6322, -1.1008, 2.6444)
(5.759, 1.3675, 2.7695)
(4.2151, -0.7084, 2.6944)
(6.0413, 1.7456, 2.7846)
(4.7453, -0.2525, 2.7587)
(5.2103, 0.2601, 2.89)
(1.8215, -1.8871, 3.0796)
(2.3443, -1.669, 3.1297)
(5.6487, 0.7292, 3.0758)
(2.969, -1.3806, 3.1818)
(3.6066, -1.0642, 3.2316)
(6.0997, 1.1483, 3.1483)
(4.233, -0.7269, 3.2771)
(6.4571, 1.4589, 3.0689)
(4.8403, -0.3409, 3.3263)
(5.4178, 0.1255, 3.3989)
(1.8399, -1.6984, 3.5772)
(2.2645, -1.4647, 3.6271)
(5.9729, 0.5071, 3.457)
(2.8568, -1.1856, 3.6912)
(3.4891, -0.883, 3.749)
(6.463, 0.8649, 3.4708)
(4.1253, -0.5789, 3.8057)
(1.8713, -1.4771, 3.8397)
(6.8307, 1.1675, 3.4399)
(4.7678, -0.2604, 3.8676)
(2.0902, -1.2544, 3.9656)
(2.7242, -0.9683, 4.0366)
(5.4167, 0.1034, 3.9123)
(3.3564, -0.6821, 4.1072)
(6.0483, 0.3967, 3.9398)
(3.9853, -0.3886, 4.1608)
(4.6264, -0.1433, 4.2594)
(6.5881, 0.674, 3.9406)
(5.2219, 0.2153, 4.2659)
(6.9678, 0.9168, 3.8907)
(5.8732, 0.4764, 4.303)
(6.8102, 0.7655, 4.1619)
(6.5249, 0.7332, 4.3715)
(-0.201, 4.6396, -2.698)
(0.4575, 4.4732, -2.6021)
(1.0874, 4.3066, -2.4973)
(1.702, 4.349, -2.7142)
(2.2442, 4.4133, -3.0543)
(-0.2037, 4.4562, -2.3798)
(0.4764, 4.4833, -2.3433)
(2.5337, 4.1072, -3.4818)
(1.1562, 4.4553, -2.325)
(2.6466, 3.7778, -3.7263)
(1.8088, 4.381, -2.4406)
(2.3331, 4.1825, -2.7405)
(2.5753, 3.804, -3.1753)
(2.65, 3.4786, -3.5629)
(-0.1537, 3.9515, -2.2887)
(0.5135, 4.0305, -2.3268)
(1.1665, 4.062, -2.2386)
(1.8174, 3.9769, -2.1902)
(2.3945, 3.7844, -2.3646)
(2.6896, 3.4259, -2.7666)
(2.7882, 3.0884, -3.1084)
(-0.0623, 3.4695, -2.1132)
(0.5757, 3.6214, -2.0753)
(1.1238, 3.7042, -1.901)
(1.7138, 3.5456, -1.8561)
(2.273, 3.3705, -2.0697)
(2.6417, 3.0551, -2.4441)
(2.8752, 2.6692, -2.6721)
(-0.0982, 3.4111, -1.6415)
(0.4796, 3.545, -1.6675)
(0.9798, 3.3121, -1.702)
